#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58824,cyc_0070-03.txt,70,244,600,0,,0
h2,58825,cyc_0070-03.txt,70,244,400,0,,0
h2,58826,cyc_0070-03.txt,70,244,500,0,,0
h2,58827,cyc_0070-03.txt,70,244,800,0,,0
h2,58828,cyc_0070-03.txt,70,244,500,0,,0
h2,58829,cyc_0070-03.txt,70,244,700,0,,0
h2,58830,cyc_0070-03.txt,70,244,400,0,,0
h2,58831,cyc_0070-03.txt,70,244,500,0,,0
h2,58832,cyc_0070-03.txt,70,244,1000,0,,0
h2,58833,cyc_0070-03.txt,70,244,400,0,,0
h2,58834,cyc_0070-03.txt,70,244,600,0,,0
h2,58835,cyc_0070-03.txt,70,244,700,0,,0
h2,58836,cyc_0070-03.txt,70,244,600,0,,0
h2,58837,cyc_0070-03.txt,70,244,400,0,,0
h2,58838,cyc_0070-03.txt,70,244,400,0,,0
h2,58839,cyc_0070-03.txt,70,244,400,0,,0
h2,58840,cyc_0070-03.txt,70,244,500,0,,0
h2,58841,cyc_0070-03.txt,70,244,600,0,,0
h2,58842,cyc_0070-03.txt,70,244,300,0,,0
h2,58843,cyc_0070-03.txt,70,244,400,0,,0
h2,58844,cyc_0070-03.txt,70,244,400,0,,0
h2,58845,cyc_0070-03.txt,70,244,700,0,,0
h2,58846,cyc_0070-03.txt,70,244,400,0,,0
h2,58847,cyc_0070-03.txt,70,244,700,0,,0
h2,58848,cyc_0070-03.txt,70,244,500,0,,0
h2,58849,cyc_0070-03.txt,70,244,800,0,,0
h2,58850,cyc_0070-03.txt,70,244,400,0,,0
h2,58851,cyc_0070-03.txt,70,244,500,0,,0
h2,58852,cyc_0070-15.txt,70,1062,3200,0,,0
h2,58853,cyc_0070-15.txt,70,1062,1300,0,,0
h2,58854,cyc_0070-15.txt,70,1062,400,0,,0
h2,58855,cyc_0070-15.txt,70,1062,700,0,,0
h2,58856,cyc_0070-15.txt,70,1062,1500,0,,0
h2,58857,cyc_0070-15.txt,70,1062,600,0,,0
h2,58858,cyc_0070-15.txt,70,1062,600,0,,0
h2,58859,cyc_0070-15.txt,70,1062,900,0,,0
h2,58860,cyc_0070-15.txt,70,1062,700,0,,0
h2,58861,cyc_0070-15.txt,70,1062,1000,0,,0
h2,58862,cyc_0070-15.txt,70,1062,700,0,,0
h2,58863,cyc_0070-15.txt,70,1062,500,0,,0
h2,58864,cyc_0070-15.txt,70,1062,1100,0,,0
h2,58865,cyc_0070-15.txt,70,1062,600,0,,0
h2,58866,cyc_0070-15.txt,70,1062,13800,0,,0
h2,58867,cyc_0070-15.txt,70,1062,1500,0,,0
h2,58868,cyc_0070-15.txt,70,1062,1300,0,,0
h2,58869,cyc_0070-15.txt,70,1062,600,0,,0
h2,58870,cyc_0070-15.txt,70,1062,400,0,,0
h2,58871,cyc_0070-15.txt,70,1062,400,0,,0
h2,58872,cyc_0070-15.txt,70,1062,400,0,,0
h2,58873,cyc_0070-15.txt,70,1062,900,0,,0
h2,58874,cyc_0070-15.txt,70,1062,400,0,,0
h2,58875,cyc_0070-15.txt,70,1062,400,0,,0
h2,58876,cyc_0070-15.txt,70,1062,200,0,,0
h2,58877,cyc_0070-15.txt,70,1062,600,0,,0
h2,58878,cyc_0070-15.txt,70,1062,200,0,,0
h2,58879,cyc_0070-15.txt,70,1062,600,0,,0
h2,58880,cyc_0070-15.txt,70,1062,300,0,,0
h2,58881,cyc_0070-15.txt,70,1062,500,0,,0
h2,58882,cyc_0070-15.txt,70,1062,400,0,,0
h2,58883,cyc_0070-15.txt,70,1062,300,0,,0
h2,58884,cyc_0070-15.txt,70,1062,400,0,,0
